site,forest_type,block,plot_number,litter_depth_mm,mean_soil_pH_field,mean_soil_pH_lab,average_soil_water_%,canopy_cover,mean_light_flux,mean_rel_humidity,mean_temp,total_number_of seedlings,seedling_ha,total_groundcover_%,total numer of trees,trees_ha,basal_area,tree_volume
1,21 year old,1,1,51.50,4.25,4.01,20.87,92.74,"2,932.00",67.00,30.40,1.00,500.00,100.00,11.00,"5,500.00",0.18,1.29
1,21 year old,1,2,61.50,4.13,4.01,19.17,86.48,"2,932.00",57.00,33.00,1.00,500.00,100.00,11.00,"5,500.00",0.18,1.29
1,21 year old,1,3,36.25,4.27,4.01,18.78,87.52,"2,932.00",57.00,33.00,1.00,500.00,98.00,11.00,"5,500.00",0.18,1.29
1,21 year old,1,4,41.75,4.37,4.01,22.93,91.68,"2,932.00",57.00,33.00,2.00,"1,000.00",100.00,11.00,"5,500.00",0.18,1.29
1,21 year old,2,1,40.75,4.50,4.01,28.20,98.96,"2,932.00",57.00,33.00,0.00,0.00,100.00,10.00,"5,000.00",0.27,2.23
1,21 year old,2,2,36.50,4.13,4.01,22.85,96.88,"2,932.00",57.00,33.00,0.00,0.00,100.00,10.00,"5,000.00",0.27,2.23
1,21 year old,2,3,35.25,5.25,4.01,24.65,89.96,"2,932.00",57.00,33.00,6.00,"3,000.00",100.00,10.00,"5,000.00",0.27,2.23
1,21 year old,2,4,44.75,5.50,4.01,27.08,92.52,"2,932.00",57.00,33.00,3.00,"1,500.00",98.00,10.00,"5,000.00",0.27,2.23
1,21 year old,3,1,49.00,4.50,4.01,14.73,90.64,"2,932.00",57.00,33.00,0.00,0.00,100.00,10.00,"5,000.00",0.64,5.47
1,21 year old,3,2,49.75,4.75,4.01,7.03,89.60,"2,932.00",57.00,33.00,0.00,0.00,99.00,10.00,"5,000.00",0.64,5.47
1,21 year old,3,3,39.75,5.63,4.01,11.10,94.80,"2,932.00",57.00,33.00,0.00,0.00,95.00,10.00,"5,000.00",0.64,5.47
1,21 year old,3,4,38.50,4.63,4.01,11.45,96.80,"2,932.00",57.00,33.00,0.00,0.00,100.00,10.00,"5,000.00",0.64,5.47
2,10 year old,1,1,130.00,5.88,4.58,34.35,100.00,"2,170.00",37.00,30.40,0.00,0.00,98.00,11.00,"5,500.00",0.21,2.24
2,10 year old,1,2,67.50,6.00,4.58,36.00,90.64,"2,170.00",37.00,30.40,0.00,0.00,100.00,11.00,"5,500.00",0.21,2.24
2,10 year old,1,3,85.00,5.75,4.58,35.70,93.76,"2,170.00",37.00,30.40,6.00,"3,000.00",100.00,11.00,"5,500.00",0.21,2.24
2,10 year old,1,4,110.00,6.00,4.58,34.03,95.84,"2,170.00",37.00,30.40,11.00,"5,500.00",100.00,11.00,"5,500.00",0.21,2.24
2,10 year old,2,1,108.75,5.50,4.58,27.43,97.92,"2,170.00",37.00,30.40,9.00,"4,500.00",98.00,12.00,"6,000.00",0.09,0.65
2,10 year old,2,2,80.00,5.63,4.58,31.18,94.80,"2,170.00",37.00,30.40,6.00,"3,000.00",100.00,12.00,"6,000.00",0.09,0.65
2,10 year old,2,3,137.50,5.38,4.58,26.00,95.80,"2,170.00",37.00,30.40,10.00,"5,000.00",100.00,12.00,"6,000.00",0.09,0.65
2,10 year old,2,4,76.25,5.75,4.58,21.63,94.80,"2,170.00",37.00,30.40,2.00,"1,000.00",97.00,12.00,"6,000.00",0.09,0.65
2,10 year old,3,1,66.25,5.50,4.58,28.35,96.88,"2,170.00",37.00,30.40,11.00,"5,500.00",92.00,12.00,"6,000.00",0.12,0.70
2,10 year old,3,2,66.25,5.13,4.58,17.45,90.64,"2,170.00",37.00,30.40,11.00,"5,500.00",94.00,12.00,"6,000.00",0.12,0.70
2,10 year old,3,3,42.50,5.38,4.58,30.50,96.88,"2,170.00",37.00,30.40,5.00,"2,500.00",98.00,12.00,"6,000.00",0.12,0.70
2,10 year old,3,4,55.00,5.38,4.58,28.93,93.76,"2,170.00",37.00,30.40,3.00,"1,500.00",98.00,12.00,"6,000.00",0.12,0.70
3,5 year old,1,1,44.25,5.25,4.12,23.78,70.88,"6,997.00",73.00,31.00,2.00,"1,000.00",70.00,11.00,"5,500.00",0.25,1.93
3,5 year old,1,2,19.00,5.25,4.12,16.98,45.92,"6,997.00",73.00,31.00,4.00,"2,000.00",92.00,11.00,"5,500.00",0.25,1.93
3,5 year old,1,3,38.75,5.00,4.12,19.15,74.00,"6,997.00",73.00,31.00,0.00,0.00,97.00,11.00,"5,500.00",0.25,1.93
3,5 year old,1,4,31.25,5.00,4.12,14.78,43.84,"6,997.00",73.00,31.00,5.00,"2,500.00",94.00,11.00,"5,500.00",0.25,1.93
3,5 year old,2,1,3.50,5.00,4.12,29.23,63.60,"6,997.00",73.00,31.00,0.00,0.00,98.00,9.00,"4,500.00",0.15,0.98
3,5 year old,2,2,12.50,5.25,4.12,30.75,45.92,"6,997.00",73.00,31.00,6.00,"3,000.00",98.00,9.00,"4,500.00",0.15,0.98
3,5 year old,2,3,20.00,5.38,4.12,31.73,87.52,"6,997.00",73.00,31.00,3.00,"1,500.00",95.00,9.00,"4,500.00",0.15,0.98
3,5 year old,2,4,17.50,6.88,4.12,36.73,80.24,"6,997.00",73.00,31.00,4.00,"2,000.00",93.00,9.00,"4,500.00",0.15,0.98
3,5 year old,3,1,57.50,4.88,4.12,31.73,98.96,"6,997.00",73.00,31.00,9.00,"4,500.00",96.50,10.00,"5,000.00",0.17,1.23
3,5 year old,3,2,41.25,4.88,4.12,27.30,95.84,"6,997.00",73.00,31.00,9.00,"4,500.00",97.50,10.00,"5,000.00",0.17,1.23
3,5 year old,3,3,85.00,5.00,4.12,31.15,97.92,"6,997.00",73.00,31.00,6.00,"3,000.00",100.00,10.00,"5,000.00",0.17,1.23
3,5 year old,3,4,105.00,4.75,4.12,36.45,71.92,"6,997.00",73.00,31.00,4.00,"2,000.00",100.00,10.00,"5,000.00",0.17,1.23
4,secondary,1,1,68.50,4.63,4.00,32.25,92.72,"5,387.00",70.00,31.00,3.00,"1,500.00",100.00,12.00,"6,000.00",0.19,1.51
4,secondary,1,2,35.50,4.25,4.00,25.23,90.64,"5,387.00",70.00,31.00,0.00,0.00,97.00,12.00,"6,000.00",0.19,1.51
4,secondary,1,3,37.75,5.13,4.00,29.00,88.56,"5,387.00",70.00,31.00,0.00,0.00,96.00,12.00,"6,000.00",0.19,1.51
4,secondary,1,4,34.50,5.63,4.00,26.75,93.76,"5,387.00",70.00,31.00,0.00,0.00,96.00,12.00,"6,000.00",0.19,1.51
4,secondary,2,1,37.75,4.25,4.00,24.68,90.64,"5,387.00",70.00,31.00,0.00,0.00,105.00,14.00,"7,000.00",0.54,6.63
4,secondary,2,2,38.25,4.63,4.00,22.48,89.60,"5,387.00",70.00,31.00,0.00,0.00,102.00,14.00,"7,000.00",0.54,6.63
4,secondary,2,3,54.75,5.25,4.00,76.95,88.56,"5,387.00",70.00,31.00,6.00,"3,000.00",105.00,14.00,"7,000.00",0.54,6.63
4,secondary,2,4,48.25,5.25,4.00,27.80,86.48,"5,387.00",70.00,31.00,3.00,"1,500.00",101.00,14.00,"7,000.00",0.54,6.63
4,secondary,3,1,32.75,5.13,4.00,20.88,86.48,"5,387.00",70.00,31.00,2.00,"1,000.00",105.00,11.00,"5,500.00",0.32,3.44
4,secondary,3,2,43.25,5.38,4.00,22.80,95.84,"5,387.00",70.00,31.00,0.00,0.00,106.00,11.00,"5,500.00",0.32,3.44
4,secondary,3,3,19.75,5.63,4.00,26.78,96.88,"5,387.00",70.00,31.00,12.00,"6,000.00",96.00,11.00,"5,500.00",0.32,3.44
4,secondary,3,4,52.25,5.38,4.00,22.20,95.84,"5,387.00",70.00,31.00,5.00,"2,500.00",93.00,11.00,"5,500.00",0.32,3.44
